"gamma"	"tau"	"n2"	"n1"	"loadings"	"varw"	"ASR"	"Pwr"	"cr"	"secr"	"biascr"	"RBcr"	"RSEBcr"	"MSEcr"
"125"	0.2	0.25	200	10	1	2	1	0.367	0.208941395102078	0.128959144621477	0.00894139510207781	0.044706975510389	-0.0400729123600206	0.0181278949969197
"161"	0.2	0.25	200	10	2	2	1	0.341	0.181493512563685	0.117066878174108	-0.0185064874363147	-0.0925324371815735	-0.0227395860573982	0.0146923433410364
"197"	0.2	0.25	200	10	3	2	1	0.338	0.1593011249556	0.104011980890255	-0.0406988750444001	-0.203494375222001	-0.00134627015631498	0.0125040787543609
"35"	0.2	0.25	200	20	1	1	1	0.421	0.201013486565562	0.115281623733365	0.00101348656556241	0.00506743282781205	-5.80113090355177e-05	0.0132924219833157
"71"	0.2	0.25	200	20	2	1	1	0.404	0.178937104013069	0.103857822931077	-0.0210628959869312	-0.105314479934656	-0.0162148172542999	0.0115885891869954
"107"	0.2	0.25	200	20	3	1	1	0.402	0.156947858303185	0.0929319696837617	-0.0430521416968145	-0.215260708484073	-0.0120748372832532	0.0107022422934044
"143"	0.2	0.25	200	20	1	2	1	0.402	0.199707057157534	0.115518890750892	-0.000292942842465532	-0.00146471421232766	0.00332529921472169	0.0132563909903325
"179"	0.2	0.25	200	20	2	2	1	0.423	0.182975487435839	0.104121213993113	-0.0170245125641609	-0.0851225628208044	-0.0261544495574848	0.0117212039173548
"215"	0.2	0.25	200	20	3	2	1	0.366	0.156696357459002	0.0929928168562096	-0.0433036425409985	-0.216518212704992	-0.00516230834202466	0.0106128494155531
"1"	0	0.1	50	10	1	1	0.996	0.042	-0.01060645079036	0.270732401462532	-0.01060645079036	NA	0.0489028916005307	0.0667333063568349
"37"	0	0.1	50	10	2	1	0.996	0.037	0.00592590603155997	0.244252823099846	0.00592590603155997	NA	0.0141577451296311	0.0580404809227266
"73"	0	0.1	50	10	3	1	0.999	0.056	-0.00332149340485724	0.218884195723167	-0.00332149340485724	NA	-0.0242861825888253	0.0503360457537384
"109"	0	0.1	50	10	1	2	0.998	0.042	0.00143180747173591	0.272695148814933	0.00143180747173591	NA	0.0529127154719414	0.067078502149741
"145"	0	0.1	50	10	2	2	0.995	0.054	0.00455954944780178	0.245532591529287	0.00455954944780178	NA	-0.0138703991666435	0.0620148816859473
"181"	0	0.1	50	10	3	2	0.998	0.039	0.00648825825216367	0.219939250768152	0.00648825825216367	NA	0.0514396682017661	0.0437980121800226
"19"	0	0.1	50	20	1	1	1	0.059	-0.00417857361203189	0.235968957222668	-0.00417857361203189	NA	-0.00396800974846749	0.0561433416296031
"55"	0	0.1	50	20	2	1	1	0.033	0.000438982124237863	0.212405161968729	0.000438982124237863	NA	0.00726995542946758	0.0444672483273365
"91"	0	0.1	50	20	3	1	1	0.05	0.00720475312390472	0.188757958992454	0.00720475312390472	NA	0.0237037433996272	0.0340505811754077
"127"	0	0.1	50	20	1	2	1	0.042	-0.00318631575650529	0.236026023292334	-0.00318631575650529	NA	0.0036531591176024	0.0553136333926083
"163"	0	0.1	50	20	2	2	1	0.059	0.00480362967128574	0.214840178395081	0.00480362967128574	NA	0.0145876036273558	0.0448616605119841
"199"	0	0.1	50	20	3	2	1	0.04	-0.00377294235203035	0.190382707371119	-0.00377294235203035	NA	0.0391533585587411	0.0335799348719819
"7"	0	0.1	100	10	1	1	1	0.047	0.0121333234713089	0.189232491293192	0.0121333234713089	NA	0.0188193512202281	0.0346454658226801
"43"	0	0.1	100	10	2	1	1	0.058	0.0011022531733413	0.170833012320199	0.0011022531733413	NA	-0.0185258955894034	0.0302972578461915
"79"	0	0.1	100	10	3	1	1	0.045	0.000641910667967022	0.153459275959352	0.000641910667967022	NA	0.0252028972899592	0.022406531137319
"115"	0	0.1	100	10	1	2	1	0.038	-0.000938729185009315	0.189311426461155	-0.000938729185009315	NA	0.0321309600694846	0.0336430546086103
"151"	0	0.1	100	10	2	2	1	0.046	-0.00539404891199179	0.171134069159043	-0.00539404891199179	NA	0.0242690212786605	0.0279445615239235
"187"	0	0.1	100	10	3	2	1	0.059	-0.00179610441781968	0.153127096773176	-0.00179610441781968	NA	-0.0514484354720432	0.0260636938178486
"25"	0	0.1	100	20	1	1	1	0.043	-0.00619138176286615	0.166797842853902	-0.00619138176286615	NA	0.00860119857421092	0.0273873614455049
"61"	0	0.1	100	20	2	1	1	0.045	0.00199928596810135	0.149776211395826	0.00199928596810135	NA	0.00284558265113729	0.0223097841061179
"97"	0	0.1	100	20	3	1	1	0.043	0.00472957993013894	0.133804409350448	0.00472957993013894	NA	0.00640593752107365	0.0176987953509311
"133"	0	0.1	100	20	1	2	1	0.05	-0.00566753833933027	0.166778005008549	-0.00566753833933027	NA	0.00138440468169879	0.027770169415173
"169"	0	0.1	100	20	2	2	1	0.054	-0.00028713793356867	0.150704589537386	-0.00028713793356867	NA	-0.0065972280130913	0.0230146183667103
"205"	0	0.1	100	20	3	2	1	0.046	0.00593263874760407	0.134197109845352	0.00593263874760407	NA	-0.00335515683043073	0.0181655165351404
"13"	0	0.1	200	10	1	1	1	0.054	-0.00133004424959365	0.13344240192147	-0.00133004424959365	NA	-0.0076460957093523	0.0180841050485318
"49"	0	0.1	200	10	2	1	1	0.05	-0.00530750441663093	0.120108869394857	-0.00530750441663093	NA	0.0112375778620097	0.0141354649371856
"85"	0	0.1	200	10	3	1	1	0.044	-0.00469709334066959	0.107697397542999	-0.00469709334066959	NA	0.0198777053651121	0.0111730731016577
"121"	0	0.1	200	10	1	2	1	0.047	-0.00722419719591178	0.133939489435637	-0.00722419719591178	NA	0.0051632752543721	0.0178081447187761
"157"	0	0.1	200	10	2	2	1	0.058	0.00453645726382236	0.120858648614968	0.00453645726382236	NA	-0.0123954592368248	0.0149963546219833
"193"	0	0.1	200	10	3	2	1	0.047	0.00196140796664147	0.108152438220776	0.00196140796664147	NA	-0.0129772248546222	0.0120103984430992
